cielo, temperatura, humedad, viento, jugar
soleado, alta, alta, debil, no
soleado, alta,  alta,  fuerte, no
nublado, alta,  alta, debil, si
lluvioso, templada,  alta, debil, si
lluvioso, fresca, normal, debil, si
lluvioso, fresca, normal, fuerte, no
nublado, fresca, normal, fuerte, si
soleado, templada, alta, debil, no
soleado, fresca, normal, debil, si
lluvioso, templada, normal, debil, si
soleado, templada, normal, fuerte, si
nublado, templada, alta, fuerte, si
nublado, alta, normal, debil, si
lluvioso, templada, alta, fuerte, no
